Row,Trading Pair,Base Asset,Quote Asset
1,0GUSDT,0G,USDT
2,1000CATUSDT,1000CAT,USDT
3,1000CHEEMSUSDT,1000CHEEMS,USDT
4,1000SATSUSDT,1000SATS,USDT
5,1INCHUSDT,1INCH,USDT
6,1MBABYDOGEUSDT,1MBABYDOGE,USDT
7,A2ZUSDT,A2Z,USDT
8,AAVEUSDT,AAVE,USDT
9,ACAUSDT,ACA,USDT
10,ACEUSDT,ACE,USDT
11,ACHUSDT,ACH,USDT
12,ACMUSDT,ACM,USDT
13,ACTUSDT,ACT,USDT
14,ACXUSDT,ACX,USDT
15,ADAUSDT,ADA,USDT
16,ADXUSDT,ADX,USDT
17,AERGOUSDT,AERGO,USDT
18,AEURUSDT,AEUR,USDT
19,AEVOUSDT,AEVO,USDT
20,AGIXUSDT,AGIX,USDT
21,AGLDUSDT,AGLD,USDT
22,AIONUSDT,AION,USDT
23,AIUSDT,AI,USDT
24,AIXBTUSDT,AIXBT,USDT
25,AKROUSDT,AKRO,USDT
26,ALCXUSDT,ALCX,USDT
27,ALGOUSDT,ALGO,USDT
28,ALICEUSDT,ALICE,USDT
29,ALPACAUSDT,ALPACA,USDT
30,ALPHAUSDT,ALPHA,USDT
31,ALPINEUSDT,ALPINE,USDT
32,ALTUSDT,ALT,USDT
33,AMBUSDT,AMB,USDT
34,AMPUSDT,AMP,USDT
35,ANCUSDT,ANC,USDT
36,ANIMEUSDT,ANIME,USDT
37,ANKRUSDT,ANKR,USDT
38,ANTUSDT,ANT,USDT
39,ANYUSDT,ANY,USDT
40,APEUSDT,APE,USDT
41,API3USDT,API3,USDT
42,APTUSDT,APT,USDT
43,ARBUSDT,ARB,USDT
44,ARDRUSDT,ARDR,USDT
45,ARKMUSDT,ARKM,USDT
46,ARKUSDT,ARK,USDT
47,ARPAUSDT,ARPA,USDT
48,ARUSDT,AR,USDT
49,ASRUSDT,ASR,USDT
50,ASTRUSDT,ASTR,USDT
51,ASTUSDT,AST,USDT
52,ATAUSDT,ATA,USDT
53,ATMUSDT,ATM,USDT
54,ATOMUSDT,ATOM,USDT
55,AUCTIONUSDT,AUCTION,USDT
56,AUDIOUSDT,AUDIO,USDT
57,AUDUSDT,AUD,USDT
58,AUSDT,A,USDT
59,AUTOUSDT,AUTO,USDT
60,AVAUSDT,AVA,USDT
61,AVAXUSDT,AVAX,USDT
62,AVNTUSDT,AVNT,USDT
63,AWEUSDT,AWE,USDT
64,AXLUSDT,AXL,USDT
65,AXSUSDT,AXS,USDT
66,BABYUSDT,BABY,USDT
67,BADGERUSDT,BADGER,USDT
68,BAKEUSDT,BAKE,USDT
69,BALUSDT,BAL,USDT
70,BANANAS31USDT,BANANAS31,USDT
71,BANANAUSDT,BANANA,USDT
72,BANDUSDT,BAND,USDT
73,BARDUSDT,BARD,USDT
74,BARUSDT,BAR,USDT
75,BATUSDT,BAT,USDT
76,BBUSDT,BB,USDT
77,BCCUSDT,BCC,USDT
78,BCHABCUSDT,BCHABC,USDT
79,BCHSVUSDT,BCHSV,USDT
80,BCHUSDT,BCH,USDT
81,BEAMUSDT,BEAM,USDT
82,BEAMXUSDT,BEAMX,USDT
83,BELUSDT,BEL,USDT
84,BERAUSDT,BERA,USDT
85,BETAUSDT,BETA,USDT
86,BETHUSDT,BETH,USDT
87,BFUSDUSDT,BFUSD,USDT
88,BICOUSDT,BICO,USDT
89,BIFIUSDT,BIFI,USDT
90,BIGTIMEUSDT,BIGTIME,USDT
91,BIOUSDT,BIO,USDT
92,BKRWUSDT,BKRW,USDT
93,BLURUSDT,BLUR,USDT
94,BLZUSDT,BLZ,USDT
95,BMTUSDT,BMT,USDT
96,BNBUSDT,BNB,USDT
97,BNSOLUSDT,BNSOL,USDT
98,BNTUSDT,BNT,USDT
99,BNXUSDT,BNX,USDT
100,BOMEUSDT,BOME,USDT
101,BONDUSDT,BOND,USDT
102,BONKUSDT,BONK,USDT
103,BROCCOLI714USDT,BROCCOLI714,USDT
104,BSWUSDT,BSW,USDT
105,BTCSTUSDT,BTCST,USDT
106,BTCUSDT,BTC,USDT
107,BTGUSDT,BTG,USDT
108,BTSUSDT,BTS,USDT
109,BTTCUSDT,BTTC,USDT
110,BTTUSDT,BTT,USDT
111,BURGERUSDT,BURGER,USDT
112,BUSDUSDT,BUSD,USDT
113,BZRXUSDT,BZRX,USDT
114,C98USDT,C98,USDT
115,CAKEUSDT,CAKE,USDT
116,CATIUSDT,CATI,USDT
117,CELOUSDT,CELO,USDT
118,CELRUSDT,CELR,USDT
119,CETUSUSDT,CETUS,USDT
120,CFXUSDT,CFX,USDT
121,CGPTUSDT,CGPT,USDT
122,CHESSUSDT,CHESS,USDT
123,CHRUSDT,CHR,USDT
124,CHZUSDT,CHZ,USDT
125,CITYUSDT,CITY,USDT
126,CKBUSDT,CKB,USDT
127,CLVUSDT,CLV,USDT
128,COCOSUSDT,COCOS,USDT
129,COMBOUSDT,COMBO,USDT
130,COMPUSDT,COMP,USDT
131,COOKIEUSDT,COOKIE,USDT
132,COSUSDT,COS,USDT
133,COTIUSDT,COTI,USDT
134,COWUSDT,COW,USDT
135,CREAMUSDT,CREAM,USDT
136,CRVUSDT,CRV,USDT
137,CTKUSDT,CTK,USDT
138,CTSIUSDT,CTSI,USDT
139,CTXCUSDT,CTXC,USDT
140,CUSDT,C,USDT
141,CVCUSDT,CVC,USDT
142,CVPUSDT,CVP,USDT
143,CVXUSDT,CVX,USDT
144,CYBERUSDT,CYBER,USDT
145,DAIUSDT,DAI,USDT
146,DARUSDT,DAR,USDT
147,DASHUSDT,DASH,USDT
148,DATAUSDT,DATA,USDT
149,DCRUSDT,DCR,USDT
150,DEGOUSDT,DEGO,USDT
151,DENTUSDT,DENT,USDT
152,DEXEUSDT,DEXE,USDT
153,DFUSDT,DF,USDT
154,DGBUSDT,DGB,USDT
155,DIAUSDT,DIA,USDT
156,DNTUSDT,DNT,USDT
157,DOCKUSDT,DOCK,USDT
158,DODOUSDT,DODO,USDT
159,DOGEUSDT,DOGE,USDT
160,DOGSUSDT,DOGS,USDT
161,DOLOUSDT,DOLO,USDT
162,DOTUSDT,DOT,USDT
163,DREPUSDT,DREP,USDT
164,DUSDT,D,USDT
165,DUSKUSDT,DUSK,USDT
166,DYDXUSDT,DYDX,USDT
167,DYMUSDT,DYM,USDT
168,EDUUSDT,EDU,USDT
169,EGLDUSDT,EGLD,USDT
170,EIGENUSDT,EIGEN,USDT
171,ELFUSDT,ELF,USDT
172,ENAUSDT,ENA,USDT
173,ENJUSDT,ENJ,USDT
174,ENSUSDT,ENS,USDT
175,EOSUSDT,EOS,USDT
176,EPICUSDT,EPIC,USDT
177,EPSUSDT,EPS,USDT
178,EPXUSDT,EPX,USDT
179,ERAUSDT,ERA,USDT
180,ERDUSDT,ERD,USDT
181,ERNUSDT,ERN,USDT
182,ETCUSDT,ETC,USDT
183,ETHFIUSDT,ETHFI,USDT
184,ETHUSDT,ETH,USDT
185,EURIUSDT,EURI,USDT
186,EURUSDT,EUR,USDT
187,FARMUSDT,FARM,USDT
188,FDUSDUSDT,FDUSD,USDT
189,FETUSDT,FET,USDT
190,FIDAUSDT,FIDA,USDT
191,FILUSDT,FIL,USDT
192,FIOUSDT,FIO,USDT
193,FIROUSDT,FIRO,USDT
194,FISUSDT,FIS,USDT
195,FLMUSDT,FLM,USDT
196,FLOKIUSDT,FLOKI,USDT
197,FLOWUSDT,FLOW,USDT
198,FLUXUSDT,FLUX,USDT
199,FORMUSDT,FORM,USDT
200,FORTHUSDT,FORTH,USDT
201,FORUSDT,FOR,USDT
202,FRONTUSDT,FRONT,USDT
203,FTMUSDT,FTM,USDT
204,FTTUSDT,FTT,USDT
205,FUNUSDT,FUN,USDT
206,FXSUSDT,FXS,USDT
207,GALAUSDT,GALA,USDT
208,GALUSDT,GAL,USDT
209,GASUSDT,GAS,USDT
210,GBPUSDT,GBP,USDT
211,GFTUSDT,GFT,USDT
212,GHSTUSDT,GHST,USDT
213,GLMRUSDT,GLMR,USDT
214,GLMUSDT,GLM,USDT
215,GMTUSDT,GMT,USDT
216,GMXUSDT,GMX,USDT
217,GNOUSDT,GNO,USDT
218,GNSUSDT,GNS,USDT
219,GPSUSDT,GPS,USDT
220,GRTUSDT,GRT,USDT
221,GTCUSDT,GTC,USDT
222,GTOUSDT,GTO,USDT
223,GUNUSDT,GUN,USDT
224,GUSDT,G,USDT
225,GXSUSDT,GXS,USDT
226,HAEDALUSDT,HAEDAL,USDT
227,HARDUSDT,HARD,USDT
228,HBARUSDT,HBAR,USDT
229,HCUSDT,HC,USDT
230,HEIUSDT,HEI,USDT
231,HFTUSDT,HFT,USDT
232,HIFIUSDT,HIFI,USDT
233,HIGHUSDT,HIGH,USDT
234,HIVEUSDT,HIVE,USDT
235,HMSTRUSDT,HMSTR,USDT
236,HNTUSDT,HNT,USDT
237,HOLOUSDT,HOLO,USDT
238,HOMEUSDT,HOME,USDT
239,HOOKUSDT,HOOK,USDT
240,HOTUSDT,HOT,USDT
241,HUMAUSDT,HUMA,USDT
242,HYPERUSDT,HYPER,USDT
243,ICPUSDT,ICP,USDT
244,ICXUSDT,ICX,USDT
245,IDEXUSDT,IDEX,USDT
246,IDUSDT,ID,USDT
247,ILVUSDT,ILV,USDT
248,IMXUSDT,IMX,USDT
249,INITUSDT,INIT,USDT
250,INJUSDT,INJ,USDT
251,IOSTUSDT,IOST,USDT
252,IOTAUSDT,IOTA,USDT
253,IOTXUSDT,IOTX,USDT
254,IOUSDT,IO,USDT
255,IQUSDT,IQ,USDT
256,IRISUSDT,IRIS,USDT
257,JASMYUSDT,JASMY,USDT
258,JOEUSDT,JOE,USDT
259,JSTUSDT,JST,USDT
260,JTOUSDT,JTO,USDT
261,JUVUSDT,JUV,USDT
262,KAIAUSDT,KAIA,USDT
263,KAITOUSDT,KAITO,USDT
264,KAVAUSDT,KAVA,USDT
265,KDAUSDT,KDA,USDT
266,KEEPUSDT,KEEP,USDT
267,KERNELUSDT,KERNEL,USDT
268,KEYUSDT,KEY,USDT
269,KLAYUSDT,KLAY,USDT
270,KMDUSDT,KMD,USDT
271,KMNOUSDT,KMNO,USDT
272,KNCUSDT,KNC,USDT
273,KP3RUSDT,KP3R,USDT
274,KSMUSDT,KSM,USDT
275,LAUSDT,LA,USDT
276,LAYERUSDT,LAYER,USDT
277,LAZIOUSDT,LAZIO,USDT
278,LDOUSDT,LDO,USDT
279,LENDUSDT,LEND,USDT
280,LEVERUSDT,LEVER,USDT
281,LINAUSDT,LINA,USDT
282,LINEAUSDT,LINEA,USDT
